production_companies,revenue_avg
Fox Animation Studios,139804348.0
Ivy Boy Productions,0.0
Likely Story,20324773.0
Paramount Vantage,58326644.6
This Is That Productions,36529541.666666664
Twitching Image Studio,0.0
Aldrich Group,0.0
Optional Pictures,0.0
Limited Edition Productions Inc.,0.0
Lennox House Films,0.0
DeBart,0.0
Baltimore Pictures,112195143.0
Punch Productions,125690203.33333333
Rovio Animation,0.0
Rovio Entertainment,0.0
Rovio Mobile,0.0
Sony Pictures Imageworks (SPI),0.0
Apatow Productions,113420073.1111111
Madison 23,22222308.0
FilmWorks,94000000.0
MDBF Zweite Filmgesellschaft,0.0
Joseph M. Singer Entertainment,294456605.0
B.H. Finance C.V.,0.0
Icon Entertainment International,113091323.85714285
The Ladd Company,49288431.833333336
Motion Picture KAPPA Produktionsgesellschaft,0.0
Neal Street Productions,41562574.75
Darkwoods Productions,114124296.0
Trackform Film Productions,0.0
Pathe,18348113.5
TF1 Films Production,81280944.83333333
Two Brothers Productions,0.0
Interscope Communications,72357154.75
Lakeshore Entertainment,64675250.222222224
Nickelodeon Animation Studios,0.0
United Plankton Pictures,140161792.0
Brian Grazer/Scott Rudin Productions,0.0
A Band Apart,115434767.8
Visiona Romantica,0.0
Zehnte Babelsberg,0.0
Camelot Pictures,26781723.0
Illusion Entertainment,0.0
Cruise-Wagner Productions,0.0
Vinyl Films,61437609.75
Charenton Productions Limited,0.0
Inside Track Films,38000000.0
Kut Productions,0.0
Lonlink Productions,0.0
Motion Picture Production GmbH & Co. Erste KG,0.0
Wheelhouse Entertainment,0.0
Jinks/Cohen Company,356296601.0
Obelisk Productions,0.0
Smokehouse Pictures,84222115.28571428
Edward R. Pressman Film,35284188.75
Vaughn Productions,0.0
Applecross,0.0
Mandalay Entertainment,55907153.0
Reperage & Vanguard Films,0.0
Distant Planet Productions,0.0
Doom Productions,0.0
John Wells Productions,4001121.0
Reaper Productions,0.0
Screen Gems,63860413.96551724
Sketch Films,91353501.0
UW4 Productions,0.0
Corner Store Entertainment,382946.0
Material Pictures,109906372.0
David Ladd Films,17432163.0
Ambience Entertainment,0.0
Current Entertainment,56971634.8
Film Victoria,0.0
Omnilab Media,64822796.0
Open Road Films,48527935.571428575
Sighvatsson Films,43318349.0
Wales Creative IP Fund,0.0
MHF Erste Academy Film GmbH & Co. Produktions KG,0.0
SuperMega,0.0
British Broadcasting Corporation (BBC) Television,0.0
Stargate Studios,46683377.0
Tele München Fernseh Produktionsgesellschaft (TMG),65430061.333333336
UGC PH,159330280.0
Conundrum Entertainment,109024265.25
Prana Animation Studios,24000000.0
Summertime Entertainment,0.0
Blue Flower Productions,0.0
Brooklyn Films II,0.0
Filmauro,0.0
Natural Nylon Entertainment,2856712.0
Riff Raff Film Productions,0.0
Boies / Schiller Film Group,0.0
Emmett/Furla Films,75863560.54545455
Envision Entertainment,15404669.0
Knightsbridge Entertainment,48126384.0
MFP Munich Film Partners GmbH & Company I. Produktions KG,113923260.66666667
S.O.A.F. Productions,0.0
Imprint Entertainment,551222043.5
Maverick Films,297514724.0
Horseshoe Bay Productions,56681566.0
Fuzzy Door Productions,549368315.0
Smart Entertainment,52425855.0
Himenóptero,28103161.0
Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),36073792.333333336
Mod Producciones,21409443.5
Telecinco Cinema,76733511.0
Golar Productions,26673242.0
Kaitz Productions,0.0
Mann/Roth Productions,0.0
Bergsten Music,0.0
Red Hawk Entertainment,0.0
Whitaker Entertainment,0.0
Abraham Productions,0.0
Fountainbridge Films,80049764.0
Ten Thirteen Productions,68369434.0
Quinta Communications,54847953.666666664
Zephyr Films,43790316.5
Bandito Brothers,81272766.0
Electronic Arts,0.0
Wind Dancer Productions,9206470.0
Kasdan Pictures,148834018.66666666
Groucho II Film Partnership,0.0
Boxing Cat Films,56768724.5
Outlaw Productions,0.0
CAMERON MACKINTOSH,0.0
Jolie Pas,3727746.0
Clipsal Films,0.0
Malpaso Productions,134175923.41176471
Cliffhanger Productions,0.0
Pioneer,0.0
RCS Video,0.0
Kernos Filmproduktionsgesellschaft & Company,41170784.0
Hobby Films,0.0
Pole Star,0.0
Marcy Media,0.0
Olive Bridge Entertainment,91479584.66666667
Kramer & Sigman Films,8784318.0
Zaftig Films,0.0
Overbrook Films,0.0
Robert Simonds Productions,72105812.125
Amen Ra Films,82197823.75
Imaginary Forces,143096781.0
Peter Frankfurt Productions,0.0
Shawn Danielle Productions Ltd.,0.0
Valkyrie Films,0.0
H2S2 Filmproduktionsgesellschaft,0.0
Scion Films,67906596.33333333
The Steve Tisch Company,3897569.0
Teitler Film,0.0
Atman Entertainment,0.0
Knickerbocker Films,0.0
Linson Films,0.0
Taurus Film,118676254.33333333
Hopscotch Films,0.0
